id,isv,plant_type,symbol,color
elm,brěst,tree,B,"195,219,121"
ash,jasenj,tree,B,"195,219,121"
linden,lipa,tree,B,"195,219,121"
apple,jablånj,tree,B,"195,219,121"
guelder_rose,kalina,tree,B,"195,219,121"
juniperberry,jalovec,tree,B,"195,219,121"
chestnut,kaštan,tree,B,"195,219,121"
chequers,brěk,tree,B,"195,219,121"
needle,hvoja,tree,B,"195,219,121"
mulberry,tutovo,tree,B,"195,219,121"
elderberry,bȯzina,tree,B,"195,219,121"
olive,maslina,tree,B,"195,219,121"
olive2,olivka,tree,B,"195,219,121"
spruce,jela,tree,B,"195,219,121"
birch,brěza,tree,B,"195,219,121"
beech,buk,tree,B,"195,219,121"
pine,sosna,tree,B,"195,219,121"
burning_bush,jasenėc,bush,B,"195,219,121"
lingonberry,brusnica,bush,B,"195,219,121"
raspberry,malina,bush,B,"195,219,121"
blueberry,črnica,bush,B,"195,219,121"
cranberry,kljukva,bush,B,"195,219,121"
cranberry2,žuravina,bush,B,"195,219,121"
strawberry,jagoda,bush,B,"195,219,121"
strawberry2,klubnika,bush,B,"195,219,121"
blackberry,ježina,bush,B,"195,219,121"
blackberry2,kųpina,bush,B,"195,219,121"
cabbage,kapusta,herb,B,"195,219,121"
horseradish,hrěn,herb,B,"195,219,121"
sweet_potato,batat,tuber,B,"195,219,121"
radish,redkȯvka,tuber,B,"195,219,121"
potato,kartofelj,tuber,B,"195,219,121"
normal_grass,trava,grass,B,"195,219,121"
needle_grass,kovylj,grass,B,"195,219,121"
tall_grass,burjan,grass,B,"195,219,121"
cannabis_grass,kanabis,grass,B,"195,219,121"
beet,rěpa,tuber,B,"195,219,121"
