id	isv	addition	partOfSpeech	type	en	sameInLanguages	genesis	protoslavic	irregularity	cognates	etm_info	related_words
5101	a takože		conj.	1	as well as							
1855	a		conj.	1	and, but			a	1	{'Old East Slavic': ['аOld Ruthenian'], 'Old Novgorodian': ['а[4]'], 'Old Cyrillic': ['а'], 'Glagolitic': ['ⰰ'], 'Bulgarian': ['а'], 'Macedonian': ['а'], 'Cyrillic': ['а'], 'Latin': ['a'], 'Slovene': ['a'], 'Old Czech': ['a'], 'Czech': ['a', 'ja (Moravian)'], 'Slovak': ['a'], 'Old Polish': ['a'], 'Polish': ['a'], 'Kashubian': ['a'], 'Polabian': ['ă'], 'Slovincian': ['a'], 'Upper Sorbian': ['a'], 'Lower Sorbian': ['a']}		
24020	abak		m.	1	abacus	v z j	I					
6114	abažur		m.	1	lampshade		F					
35658	abdikacija		f.	1	abdication		I					
11	abdikovati		v.intr. ipf./pf.	1	abdicate		I					
35691	abeceda		f.	2	alphabet (usually Latin)							
24026	Abhaz		m.anim.	1	Abkhaz	v z j						
6165	Abhazija		f.sg.	1	Abkhazia	v z j						
36565	abhazsky		adj.	1	Abkhaz, Abkhazian	v z j						
24029	ablativ		m.	1	ablative		I					
6375	abo		conj.	2	or	ub pl sk						
24031	abolicionist		m.anim.	1	abolitionist	v z j	I					
24032	abolicionizm		m.sg.	1	abolitionism	v z j	I					
34768	abonement		m.	1	subscription, season ticket		F					
6117	abonent		m.	1	subscriber	v z j	F					
6119	abonovati		v.tr. ipf.	1	subscribe, engage		F					
24038	abort		m.	1	abortion		I					
24039	abrakadabra		f.sg.	1	abracadabra		I					
24042	abrikos		m.	2	apricot	v	I					
24044	absces		m.	1	abscess	v cs j	I					
24045	abscisa		f.	1	abscissa		I					
15	absencija		f.sg.	2	absence	z	I					
24047	absint		m.sg.	1	absinthe	v z j	F					
24050	absolutizm		m.sg.	1	absolutism	v z j	I					
6123	absolutno		adv.	1	absolutely	v z j	I					
6120	absolutny		adj.	1	absolute, utter, sheer	v z j	I					
24054	absorbcija		f.sg.	1	absorption		I					
19625	absorbovati		v.tr. ipf.	2	absorb		I					
24056	abstrahovati		v.tr. ipf./pf.	1	abstract		I					
19626	abstrakcija		f.	1	abstraction		I					
35132	abstrakt		m.	1	abstract, summary, abridgement		I					
19627	abstraktny		adj.	1	abstract		I					
6124	absurd		m.	1	absurdity		I					
35784	absurdnosť		f.	1	absurdity	v z j	I					
6125	absurdny		adj.	1	absurd		I					
1986	aby		conj.	1	in order to, so as to		S					
17101	ače		conj.	4	although, though	cu						
35331	ačekoli		conj.	3	although, though, even though	pl cz						
24065	adadžo		n.	1	adagio	v z j	I					
24067	adamovo jablȯko		n.	1	Adam’s apple							
24068	adaptacija		f.	1	adaptation	v z j	I					
24069	adapter		m.	1	adapter	v z j	I					
24070	adaptovati		v.tr. ipf./pf.	1	adapt	v z j	I					
24071	adekvatny		adj.	1	adequate	v z j	I					
6126	adept		m.anim.	2	adherent, follower	v	I					
24076	adjutant		m.anim.	1	adjutant	v z j	I					
2848	administracija		f.	1	administration	v z j	I					
17108	administrativny		adj.	1	administrative	v z j	I					
96	administrator		m.anim.	1	administrator	v z j	I					
24081	administrovati		v.tr. ipf.	1	administrate	v z j	I					
24082	admiral		m.anim.	1	admiral	v z j	I					
24084	admiraľstvo		n.	1	admirality	v z j	I					
35592	adopcija		f.	1	adoption	v z j	I					
19628	adoptovati		v.tr. ipf.	2	adopt	z	I					
24086	adrenalin		m.sg.	1	adrenaline	v z j	I					
17109	adres		m.	1	address	v z sh bm	I					
248	adresa		f.	1	address	v z sh bm	I					
24089	adresat		m.anim.	1	addressee	v z bm	I					
4540	adresovati		v.tr. ipf.	1	address	v z sh bm	I					
36739	Adriatičsko morje		n.	1	Adriatic Sea	v pl bg	I					
24093	adventist		m.anim.	1	adventist	v z j	I					
97	advokat		m.anim.	2	lawyer, advocate, attorney, solicitor	v z j	I					
24096	advokatura		f.sg.	1	bar (lawyers)	v z j	I					
36566	Adžarija		f.sg.	1	Adjara, Adzharia	v z j						
36348	aerodinamičny		adj.	1	aerodynamic, streamlined	v z j	I					
36349	aerodinamika		f.sg.	1	aerodynamics	v z j	I					
33084	aerodrom		m.	1	aerodrome		I					
3423	aeronavtičny		adj.	1	aeronautical		I					
3424	aeronavtika		f.sg.	1	aeronautics		I					
6129	aeroplan		m.	1	airplane, plane		I					
99	aeroport		m.	1	airport		I					
19629	afazija		f.sg.	1	aphasia	v z j	I					
19630	afektivny		adj.	1	affective		I					
35513	afera		f.	1	affair (adultery), affair (controversial situation)	ru pl j	F					
5754	Afganistan		m.sg.	1	Afghanistan	v z j						
5755	afgansky		adj.	1	Afghan	v z j						
37507	afiks		m.	1	affix (gram.)	v z j	I	!	!	!	!	!
36756	aforizm		m.	1	aphorism	v z j	I					
4743	Afrika		f.sg.	1	Africa	v z j						
36719	Afrikanėc		m.anim.	1	African	v z j						
36720	Afrikanka		f.	1	African	v z j						
32850	afrikansky mråvojed		m.anim.	1	aardvark	v pl~ sk j						
106	afrikansky		adj.	1	African	v z j						
24102	Afroamerikanec		m.anim.	1	Afro-American	v z j						
36283	afrodiziak		m.	1	aphrodisiac	v z j	I					
24105	agava		f.	1	agave	v z j	I					
113	agencija		f.	1	agency		I					
24107	agent		m.anim.	1	agent	v z j	I					
24110	#agentura		f.	1	agency		I					
24111	agitacija		f.sg.	1	agitation	v z j	I					
24112	agitator		m.anim.	1	agitator	v z j	I					
24113	agitka		f.	1	leaflet (agitation)	v z sh	I					
24114	agitovati		v.intr. ipf.	1	agitate	v z j	I					
35785	aglomeracija		f.	1	agglomeration	v z j	I					
19631	aglutinacija		f.sg.	1	agglutination	v z j	I					
24116	aglutinativny		adj.	1	agglutinative	v z j	I					
24118	agnosticizm		m.sg.		agnosticism	v z j	I					
24119	agnostik		m.anim.		agnostic	v z j	I					
24120	agonija		f.sg.		agony	v z j	I					
24121	agonizovati		v.intr. ipf.		agonise, agonize	v z j	I					
24124	agrarny		adj.	1	agrarian	v cs j	I					
24125	agregat		m.	1	aggregate	v z j	I					
24127	agresija		f.sg.	1	aggression	v z j	I					
24128	agresivny		adj.	1	aggressive	v z j	I					
24129	agresor		m.anim.	1	aggressor	v z j	I					
24130	agrikultura		f.sg.	1	agriculture		I					
24131	agronom		m.anim.	1	agriculturist	v z j	I					
24132	agronomičny		adj.	1	agronomic, agronomical	v z j	I					
24133	agronomija		f.sg.	1	agronomy	v z j	I					
24134	ah		intj.		ah	v z j		axъ	1	{'Old Ruthenian': ['ахъ'], 'Belarusian': ['ах'], 'Ukrainian': ['ах'], 'Russian': ['ах'], 'Bulgarian': ['ах'], 'Macedonian': ['ах'], 'Cyrillic': ['ах'], 'Latin': ['ȁh'], 'Slovene': ['àh'], 'Czech': ['ach'], 'Slovak': ['ach', 'ách'], 'Old Polish': ['ach'], 'Polish': ['ach'], 'Kashubian': ['ach'], 'Slovincian': ['ãχ'], 'Upper Sorbian': ['ach'], 'Lower Sorbian': ['ach']}	Ultimately a natural expression. Either:  extension from Proto-Slavic *a inherited from Proto-Indo-European [Term?], compare Latin āh, Old High German ah 	
24135	aha		intj.		aha	v z j						
4886	ahoj		intj.	3	hello, hi!	cs						
24136	aj		intj.	1	ah!, oh!	v z j						
37233	ajir		m.	2	Acorus calamus, sweet flag	v pl bg		!	!	!	!	!
24137	ajsberg		m.	2	iceberg	v bg	D					
24138	akacija		f.		acacia	v z j	I					
16262	akademičsky		adj.	1	academic	v z j	I					
4639	akademija		f.	1	academy	v z j	I					
24141	akademik		m.anim.	1	academician	v z j	I					
34994	akańje		n.sg.		akanye	v z j						
6130	akcent		m.	1	accent, stress (pronunciation)	v z sh bm	I					
24148	akcentovati		v.tr. ipf.	1	accentuate, stress (pronunciation)	v z sh bm	I					
24149	akcentuacija		f.sg.	1	accentuation		I					
4951	akceptacija		f.sg.	1	acceptation, acceptance		I					
111	akceptovati		v.tr. ipf.	1	accept		I					
115	akcija		f.	1	share (securities)		I					
2849	akcija		f.	1	action		I					
24152	akcioner		m.anim.	1	stockholder		I					
24153	akcionerny kapital		m.sg.	1	joint-stock capital		I					
24154	akciz		m.	1	excise		I					
24155	aklimatizacija		f.sg.	1	acclimatization		I					
24156	aklimatizovati		v.intr. ipf.	1	acclimatize		I					
6387	akne		n.sg.	1	acne, pimple		I					
17112	ako by		conj.	1	as if							
17113	ako by		conj.	1	if							
17114	ako by		conj.	1	in case							
6133	ako li		conj.	2	if		S					
23672	ako ne		conj.	1	unless							
17076	ako		conj.	1	if, when			 jako	1	 {'Old East Slavic': ['ꙗко'], 'Russian': ['яко (archaic)'], 'Belarusian': ['як'], 'Ukrainian': ['як'], 'Old Cyrillic': ['ꙗко'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['ако (', '“if”)'], 'Macedonian': ['ако (', '“if”)'], 'Cyrillic': ['ако (“if”)'], 'Latin': ['ȁko (“if”)'], 'Czech': ['jak', 'jako'], 'Kashubian': ['jak'], 'Polish': ['jak (“how', 'if”)', 'jako (“as”)'], 'Slovak': ['ako', 'ak (“if”)']}	 	
17110	ako		prep.	1	as			 jako	1	 {'Old East Slavic': ['ꙗко'], 'Russian': ['яко (archaic)'], 'Belarusian': ['як'], 'Ukrainian': ['як'], 'Old Cyrillic': ['ꙗко'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['ако (', '“if”)'], 'Macedonian': ['ако (', '“if”)'], 'Cyrillic': ['ако (“if”)'], 'Latin': ['ȁko (“if”)'], 'Czech': ['jak', 'jako'], 'Kashubian': ['jak'], 'Polish': ['jak (“how', 'if”)', 'jako (“as”)'], 'Slovak': ['ako', 'ak (“if”)']}	 	
32593	akolada		f.	1	accolade (music), brace	v z j	I					
36472	akolada		f.	1	accolade (ceremony), dubbing, adoubement	v z j	I					
24161	akomodacija		f.	1	accommodation (eyes), adjustment		I					
24163	akompanement		m.sg.	1	accompaniment		I					
24164	akompaniator		m.anim.	1	accompanist		I					
24165	akompanovati		v.tr. ipf.	1	accompany		I					
24167	akord		m.	1	chord	v z j	I					
24168	akordeon		m.	1	accordion	v z bg	I					
24169	akr		m.	1	acre	v z j	I					
24173	akrobat		m.anim.	1	acrobat	v z j	I					
34769	akrobatika		f.sg.	1	acrobatics	v z j	I					
24174	akrobatka		f.	1	acrobat	v z j	I					
24175	akrobatsky		adj.	1	acrobatic	v z j	I					
33563	aksamit		m.sg.	2	velvet	ub z	I					
33564	aksamitny		adj.	2	velvet	ub z						
32543	aksiaľny		adj.	1	axial		I					
24180	aksioma		f.	1	axiom	v z j	I					
119	akt		m.	1	act, deed		I					
2307	aktivist		m.anim.	1	activist	v cs j	I					
24189	aktivistka		f.	1	activist	v cs j	I					
35786	aktivitet		m.	3	activity	cs	I					
16921	aktivno		adv.	1	actively	v z j	I					
5142	aktivnosť		f.	1	activity	v pl j	I					
43	aktivny		adj.	1	active	v z j	I					
24190	aktivovati		v.tr. ipf.	1	activate	v z j	I					
6134	aktor		m.anim.	1	actor	v pl bm	I					
24194	aktorka		f.	1	actress	v pl bm	I					
36683	aktorsky		adj.	1	actor’s, actorish, histrionic	v pl bm						
24197	aktrisa		f.	1	actress	v pl bm	I					
34899	aktualizacija		f.	1	update	v z j	I					
34900	aktualizovati		v.tr. ipf./pf.	1	update	v z j	I					
17117	aktuaľnosť		f.	1	timeliness, current event, immediate interest							
5125	aktuaľny		adj.	1	current, timely, actual (current)		I					
20330	akula		f.	1	shark	v sh bm						
24201	akumulacija		f.	1	accumulation		I					
24202	akumulator		m.	1	accumulator		I					
24203	akumulovati		v.tr. ipf.	1	accumulate		I					
24204	akurat		adv.		exactly		I					
24205	akuratnosť		f.	1	accuracy		I					
24206	akuratny		adj.	1	accurate		I					
24207	akustičny		adj.	1	acoustic	v z j	I					
24208	akustika		f.	1	acoustics	v z j	I					
24210	akušerka		f.	2	midwife	v bm	I					
24211	akušersky		adj.	2	obstetric	v bm	I					
24212	akušerstvo		n.sg.	2	obstetrics	v bm	I					
24213	akut		m.	1	acute accent	v pl cz sh bg						
16922	akuzativ		m.	2	accusative	cs j	I					
24216	akvamarin		m.	1	aquamarine	v z j	I					
24217	akvarelist		m.anim.	1	aquarellist	v z j	I					
24218	akvarelj		m.	1	watercolor	v z j	I					
24219	akvarium		m.	1	aquarium	v z j	I					
24220	akvedukt		m.	1	aqueduct	v z j	I					
24223	alabastr		m.	1	alabaster	v z j	I					
24224	alarm		m.	1	alarm							
133	Albanec		m.anim.	1	Albanian	v z j						
4732	Albanija		f.sg.	1	Albania	v z j						
6388	Albanka		f.	1	Albanian woman	v z j						
142	albansky		adj.	1	Albanian	v z j						
23563	albatros		m.anim.	1	albatross	v z j	I					
24248	album		m.	1	album	v z j	I					
134	ale		conj.	1	but	ub z sh bg		ale	1	{'Old Ruthenian': ['але (possibly influenced by Polish)'], 'Belarusian': ['але'], 'Ukrainian': ['але'], 'Cyrillic': ['але'], 'Latin': ['ȁle'], 'Old Czech': ['ale'], 'Czech': ['ale'], 'Bohemian (Chod dialect)': ['hale'], 'Kashubian': ['ale'], 'Old Polish': ['ale'], 'Polish': ['ale'], 'Lesser Polish (Więciórka)': ['ale'], 'Silesian': ['nale'], 'Slovak': ['ale'], 'Slovincian': ['ālë'], 'Upper Sorbian': ['ale'], 'Lower Sorbian': ['ale']}	ESSJa reconstructs a compound conjunction *a (“however”) +‎ *le, invented on native soil. Attested mainly in Western Slavic. Alternatively from Proto-Indo-European *h₂élyos (“other”) (expected would be **oľe), which Trubachev refutes. In Bulgarian, there exists a conjunction ала (ala, “however”), which is borrowed from Ancient Greek ἀλλά (allá).  	
24229	alegoričny		adj.	1	allegorical	v z j	I					
5856	alegorija		f.	1	allegory	v z j	I					
24231	aleja		f.	1	avenue, alley	v z j	I					
37278	aleluja		intj.	1	halleluyah	v z j	I	!	!	!	!	!
36743	alergičny		adj.	1	allergic	v z j	I					
36742	alergija		f.	1	allergy	v z j	I					
45	alfabet		m.	1	alphabet		I					
3968	alfabetičny		adj.	1	alphabetical		I					
32939	alga		f.	2	alga	pl yu bm	I					
23490	algebra		f.sg.	1	algebra	v z j	I					
23492	algoritm		m.	1	algorithm	v z j	I					
24238	alhimija		f.sg.	1	alchemy	v z j	I					
24239	alhimik		m.anim.	1	alchemist	v z j	I					
107	alians		m.	1	alliance	v cs j	I					
24240	alibi		n.indecl.	1	alibi	v z j	I					
24241	aligator		m.anim.	1	alligator	v z j	I					
24244	alimenty		m.pl.	1	alimony		I					
24245	aliteracija		f.	1	alliteration	v z j	I					
24267	#aljur		m.sg.		allure		F					
4647	alkohol		m.	1	alcohol	v z j	I					
23277	alkoholik		m.anim.	1	alcoholic	v z j	I					
24274	alkoholizm		m.sg.	1	alcoholism	v z j	I					
4648	alkohoľny		adj.	1	alcoholic	v z j	I					
24253	alkov		m.	2	alcove	v sh	I					
24279	allegro		n.	1	allegro	v z j	I					
24254	almanah		m.	1	almanac	v z j	I					
24281	almaz		m.	2	diamond	v						
24282	alo		intj.	1	hello		I					
24283	aloe		n.indecl.	1	aloe	v z j	I					
15759	alpijsky		adj.	1	alpine	v z j	I					
5757	alpinist		m.anim.	1	alpinist	v z j	I					
24256	alpinizm		m.sg.	1	alpinism	v z j	I					
59	Alpy		f.pl.	1	Alps	v z j						
23443	alt		m.	1	viola	v pl	I					
32998	alt		m.	1	alto		I					
35767	altana, altanka		f.	2	gazebo	ub pl cz						
24259	alternativa		f.	1	alternative	v z j	I					
17119	alternativny		adj.	1	alternative	v z j	I					
24261	altruist		m.anim.	1	altruist	v z j	I					
24262	altruističny		adj.	1	altruistic	v z j	I					
24263	altruizm		m.sg.	1	altruism	v z j	I					
22608	aluminij		m.sg.	1	aluminium	v z j	I					
24265	aluminijevy		adj.	1	aluminium	v z j	I					
35536	aluzija		f.	1	allusion, hint	v pl j						
24269	alveolarny		adj.		alveolar	v cs j	I					
5919	Alžirija		f.sg.	1	Algeria	v z j						
