glyph,isv

𓀏,vęzenj
𓁙,dama
𐂁,žena
𖠋,mųž
𔐁,děvčina
𓀟,hlåpec
𓀞,prośak
𓀦
𓁆
𓁇
𓁍
𓁄

𔐂,pųtnik
𔐃,čarovnik
𔐃,čarovnica
𔐄,dětę
𔒟,běs
𓀐,mŕtvec
𓀎,lųkostrělėc
𓀗,starec
𓀘,zemjedělec
𓀙,pastyŕ
𓀛,vladaŕ
𓀬,jezdec
𓁌,karlik
𓎬,angel
𓁶,glåva
𓁷,obličje
𓁸,vlås
𓁹,oko
𓂀,makijaž
𓂈,uho
𓂊,nos
𓂋,usta
𓂢,rųka
𓂫,grst́
𓂬,pęst́



𓃒,byk
𓃔,telętko
𓃕,kråva
𓃗,konj
𓃘,osel
𓃘,oslica
𓃙,koza
𓃝,baran
𓃟,svinja
𓃠,kot
𓃡,ovčaŕsky pes
𔑭,pes
𔑴,jelenj
𔑵,rog
𔒆,kozel
𔑼,vol
𔒌,zajęc
𔒏,sȯsavec
𔒒,grifon
𓃥,vȯlkodav
𓃬,lev
𓃬,ljvica
𓃮,puma
𓃯,hipopotam
𓃰,slon
𓃱,žirafa
𓃸,malpa
𓃺,krålik
𖠆,krȯt
𖠌,homjak
𖠐,krysa
𖠖,myš
𓄑,kȯl
𓄒,čeljust́
𓄙,kopyto
𓄜,koža
𓄣,sŕdce
𓄥,pljuća
𓄮,rebro
𓄯,męso
𓄵,črěvo
𓄹,plȯt́


𓄿,sųp
𓅂,kanja
𓅃,sokol
𓅓,sova
𓅘,divina
𓅙,kolibri
𓅚,čajka
𓅜,ibis
𓅟,flamingo
𓅡,boćan
𓅣,čaplja
𓅥,žar-ptica
𓅦,straus
𓅧,kulik
𓅩,lastovica
𓅫,vråbec
𓅬,gųś
𓅭,katka
𓅰,golųb
𓅱,kura
𓅷,katȯčka
𔒚,ptak
𔒛,črvenogrlka
𓆃,krilo
𓆄,pero
𓆆,klěšča
𓆇,jajce
𖠽,kamenj


𓆈,gekon
𓆉,žȯlv
𓆌,krokodil
𓆏,žaba
𓆐,ropuha
𓆎,luska
𓆗,kobra
𓆙,zmija
𓆑,gad
𖠃,jaščer


𓆝,treska
𔒥,ryba
𓆜,losoś
𓆛,karp
𓆡,lešč
𓆞,pȯstrųg
𓆟,jesetr


𓆣,žuk
𓆤,pčela
𓆦,muha
𓆧,saranča
𓆨,stonožka
𖤿,slimak
𖥃,motylik
𓆩,luščina
𓆫,skorpion


𓆭,drěvo
𐂷,brěst
𖠰,lipa
𖢔,hvoja
𖣂,jasenj
𔒱,jalovec
𔒲,sosna
𔒴,kalina
𔒷,dųb
𔒸,brěk
𔒽,brěza
𔓃,jablånj





𓆱,větva
𓇫,galųź
𓇅,papirus

𓇛,sěmę
𓇜,korenj
𓇢,zŕno
𓇦,kųdělj
𓇤,gromada

𖤞,jablȯko
𖦴,grozd́je
𖢟,jagoda

𓆰,råstlina
𖨥,trava
𐂎,greča
𐂏,jęčmenj
𐂐,maslina
𐂑,peprec
𐂓,plod
𐂔,šafran
𓇣,pšenica
𖨙,redkȯvka
𖠗,bob



✿,cvět


𓇭,vinogråd


𓇳,sȯlnce
𓇶,luč
𐂵,měsęc
☾,luna


𓈈,navodnjańje
𓈘,kanal


𓈉,hȯlm

𓈑,glina
𓈖,voda
𓈗,vȯlna
𓈞,studnja
𓈟,klådec
𓈔,kovina
𓈜,basen

𓉮,svętilišče
𓉺,kolona
𓉼,stȯlp
𓉽,stojka
𓊀,vråta
𓊍,stųpenišče
𓊌,cegla

𓊐,ogråda
𓊚,stog

𓊛,čȯln
𖠳,lodka
⛴,prěvoz
𓊝,větrnoplåtnica
𓊞,barkas
𓊡,větrilo
𓊤,veslo

𓊨,tron
𓊪,stul
𔕏,krěslo
𓊬,skrinja
𓊮,kotlaŕ
𖢧,stol
𔕓,lože
𓊸,kadilo

𓋙,korona
𓋛,operjeńje
𓋝,šal
𐃃,šlěm
⛑,helma
𓋞,monisto
𓋩,ogrlica
𓋧,našijnik
𓋪,koljce
ⱺ,pŕstenj
𖧻,braslet
𓋭,pas
𔕩,pojas

𓋯,fartuh
𓋫,podvęzka


𓋮,košulja
𓋸,sandala
𔕧,kapuca
𖠦,plašč
𖠨,paljto
𖣁,sako
𖢾,šuba
𔘑,žilet
𐂪,frak
𐂫,pancyŕ
𔘋,pola
𔘌,kožuh
𖠥,nogavky
𖣑,nogavice
𔑛,škarpetka
𔐭,rųkavica
𔑣,obuvka
𑂑,valenky
𔘍,nakolěnnik
𓋜,vųzel
𓋷,tkanina


⛿,zastava
𓊹,horųgva

𖥈,česalo
𓋽,vějaŕ
𓋺,vějalo

𓋾,kyj
𓋿,palka
𓌀,skipetr
𓌂,žezlo
𓌃,pala
𓌅,cěp

𐃆,kopje
𓌏,sěkyra
𐃉,meč
𖠧,nož
⯝,kosa
𓌔,lųk
𓌓,smyček
𓌕,strěla
𓌗,struna
𓍢,vŕvka
𐃏,kolo
𓌡,harpun

𓌤,sětka
𓌦,vŕša
𓌧,past́

𓌲,ščit
𓌴,sŕp
𓌻,motyka
𓍁,plug
𓍃,sańky
𓍋,dlåto
𔕂,klěšče
𓍍,svŕdlo
𓍝,vaga
𓍡,vilica

𓏊,pivo
𓎿,napitȯk
𓏈,mlěko
𓏉,vino


𓎡,podnos
𓎤,mošna
𓎩,krmjeńje
