word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
consensus,consensa,consensum,consensior,consensissimus,consense,12,consens
phoenix,phoenix,phoenix,phoenicior,phoenicissimus,phoeniciter,3,phoenic
neuter,neutra,neutrum,neutrior,neuterrimus,neutre,12,neutr
anterior,anterior,anterius,anteriorior,anteriorissimus,anterioriter,12,anterior
servus,serva,servum,servior,servissimus,serve,12,serv
exterior,exterior,exterius,exteriorior,exteriorissimus,exterioriter,12,exterior
interior,interior,interius,interiorior,interiorissimus,interioriter,12,interior
complex,complex,complex,complicior,complicissimus,compliciter,3,complic
integer,integra,integrum,integrior,integerrimus,integre,12,integr
unus,una,unum,unior,unissimus,une,12,un
foetus,foeta,foetum,foetior,foetissimus,foete,12,foet
alter,altera,alterum,alterior,alterrimus,altere,12,alter
accusabilis,accusabilis,accusabile,accusabilior,accusabilissimus,accusabiliter,3,accusabil
multicolor,multicolor,multicolor,multicolorior,multicolorissimus,multicoloriter,3,multicolor
pauper,pauper,pauper,pauperior,pauperrimus,paupere,3,pauper
dis,dis,dis,ditior,ditissimus,dititer,3,dit
alumnus,alumna,alumnum,alumnior,alumnissimus,alumne,12,alumn
romanus,romana,romanum,romanior,romanissimus,romane,12,roman
Christianus,Christiana,Christianum,Christianior,Christianissimus,Christiane,12,Christian
frigidus,frigida,frigidum,frigidior,frigidissimus,frigide,12,frigid
sagittarius,sagittaria,sagittarium,sagittariior,sagittariissimus,sagittarie,12,sagittari
veteranus,veterana,veteranum,veteranior,veteranissimus,veterane,12,veteran
vetus,vetus,vetus,vetustior,vetustissimus,vetere,3,veter
sufflavus,sufflava,sufflavum,sufflavior,sufflavissimus,sufflave,12,sufflav
subniger,subnigra,subnigrum,subnigrior,subnigerrimus,subnigre,12,subnigr
exoticus,exotica,exoticum,exoticior,exoticissimus,exotice,12,exotic
verus,vera,verum,verior,verissimus,vere,12,ver
zodiacus,zodiaca,zodiacum,zodiacior,zodiacissimus,zodiace,12,zodiac
amphibius,amphibia,amphibium,amphibiior,amphibiissimus,amphibie,12,amphibi
Latinus,Latina,Latinum,Latinior,Latinissimus,Latine,12,Latin
librarius,libraria,librarium,librariior,librariissimus,librarie,12,librari
latus,lata,latum,latior,latissimus,late,12,lat
liber,libera,liberum,liberior,liberrimus,libere,12,liber
magicus,magica,magicum,magicior,magicissimus,magice,12,magic
animalis,animalis,animale,animalior,animalissimus,animaliter,3,animal
polaris,polaris,polare,polarior,polarissimus,polariter,3,polar
philosophus,philosopha,philosophum,philosophior,philosophissimus,philosophe,12,philosoph
abominabilis,abominabilis,abominabile,abominabilior,abominabilissimus,abominabiliter,3,abominabil
geminus,gemina,geminum,geminior,geminissimus,gemine,12,gemin
sinister,sinistra,sinistrum,sinistrior,sinistimus,sinistre,12,sinistr
cordipugus,cordipuga,cordipugum,cordipugior,cordipugissimus,cordipuge,12,cordipug
reus,rea,reum,reior,reissimus,ree,12,re
primus,prima,primum,primior,primissimus,primo,12,prim
rhetoricus,rhetorica,rhetoricum,rhetoricoteros,rhetoricissimus,rhetorice,12,rhetoric
alius,alia,aliud,alteriior,alteriissimus,alterie,12,alteri
mundus,munda,mundum,mundior,mundissimus,munditer,12,mund
ominosus,ominosa,ominosum,ominosior,ominosissimus,ominose,12,ominos
sons,sons,sons,sontior,sontissimus,sontter,3,sont
atomus,atoma,atomum,atomior,atomissimus,atome,12,atom
australis,australis,australe,australior,australissimus,australiter,3,austral
infans,infans,infans,infantior,infantissimus,infantter,3,infant
facetus,faceta,facetum,facetior,facetissimus,facete,12,facet
togatus,togata,togatum,togatior,togatissimus,togate,12,togat
albus,alba,album,albior,albissimus,albe,12,alb
anxius,anxia,anxium,magis anxius,maxime anxius,anxie,12,anxi
filialis,filialis,filiale,filialior,filialissimus,filialiter,3,filial
bonus,bona,bonum,melior,optimus,bene,12,bon
secundus,secunda,secundum,secundior,secundissimus,secunde,12,secund
amicus,amica,amicum,amicior,amicissimus,amice,12,amic
masculinus,masculina,masculinum,masculinior,masculinissimus,masculine,12,masculin
fortis,fortis,forte,fortior,fortissimus,fortiter,3,fort
manus,mana,manum,manior,manissimus,mane,12,man
Graecus,Graeca,Graecum,Graecior,Graecissimus,Graece,12,Graec
altus,alta,altum,altior,altissimus,alte,12,alt
clarus,clara,clarum,clarior,clarissimus,clare,12,clar
simplex,simplex,simplex,simplicior,simplicissimus,simpliciter,3,simplic
duplex,duplex,duplex,duplicior,duplicissimus,dupliciter,3,duplic
arcanus,arcana,arcanum,arcanior,arcanissimus,arcane,12,arcan
magus,maga,magum,magior,magissimus,mage,12,mag
Alpinus,Alpina,Alpinum,Alpinior,Alpinissimus,Alpine,12,Alpin
zonarius,zonaria,zonarium,zonariior,zonariissimus,zonarie,12,zonari
relativus,relativa,relativum,relativior,relativissimus,relative,12,relativ
fractus,fracta,fractum,fractior,fractissimus,fracte,12,fract
senex,senex,senex,senior,senissimus,seniter,3,sen
liniger,linigera,linigerum,linigerior,linigerrimus,linigere,12,liniger
idoneus,idonea,idoneum,magis idoneus,maxime idoneus,idonee,12,idone
novus,nova,novum,novior,novissimus,nove,12,nov
ineffabilis,ineffabilis,ineffabile,ineffabilior,ineffabilissimus,ineffabiliter,3,ineffabil
abusivus,abusiva,abusivum,abusivior,abusivissimus,abusive,12,abusiv
infelix,infelix,infelix,infelicior,infelicissimus,infeliciter,3,infelic
gnarus,gnara,gnarum,gnarior,gnarissimus,gnare,12,gnar
unicus,unica,unicum,unicior,unicissimus,unice,12,unic
solus,sola,solum,solior,solissimus,sole,12,sol
strategematicus,strategematica,strategematicum,strategematicior,strategematicissimus,strategematice,12,strategematic
machinalis,machinalis,machinale,machinalior,machinalissimus,machinaliter,3,machinal
machinarius,machinaria,machinarium,machinariior,machinariissimus,machinarie,12,machinari
pernecessarius,pernecessaria,pernecessarium,pernecessariior,pernecessariissimus,pernecessarie,12,pernecessari
cornipes,cornipes,cornipes,cornipedior,cornipedissimus,cornipediter,3,corniped
astrapoplectus,astrapoplecta,astrapoplectum,astrapoplectior,astrapoplectissimus,astrapoplecte,12,astrapoplect
centiceps,centiceps,centiceps,centicipitior,centicipitissimus,centicipititer,3,centicipit
nudus,nuda,nudum,nudior,nudissimus,nude,12,nud
venenifer,venenifera,veneniferum,veneniferior,veneniferrimus,venenifere,12,venenifer
venenosus,venenosa,venenosum,venenosior,venenosissimus,venenose,12,venenos
virulentus,virulenta,virulentum,virulentior,virulentissimus,virulente,12,virulent
illecebrosus,illecebrosa,illecebrosum,illecebrosior,illecebrosissimus,illecebrose,12,illecebros
ludificatorius,ludificatoria,ludificatorium,ludificatoriior,ludificatoriissimus,ludificatorie,12,ludificatori
urniger,urnigera,urnigerum,urnigerior,urnigerrimus,urnigere,12,urniger
turriger,turrigera,turrigerum,turrigerior,turrigerrimus,turrigere,12,turriger
thyrsiger,thyrsigera,thyrsigerum,thyrsigerior,thyrsigerrimus,thyrsigere,12,thyrsiger
tridentiger,tridentigera,tridentigerum,tridentigerior,tridentigerrimus,tridentigere,12,tridentiger
tricorniger,tricornigera,tricornigerum,tricornigerior,tricornigerrimus,tricornigere,12,tricorniger
